故宫,中国历史博物馆,117,0.513157894737,1155,228
中和殿,长安街,25,0.892857142857,28,1388
交泰殿,储秀宫,18,0.818181818182,64,22
故宫,人民英雄纪念碑,284,0.68932038835,1155,412
国家博物馆,长安街,260,0.959409594096,271,1388
王府井,商业街,747,0.661061946903,1130,1248
御花园,太和殿,33,0.785714285714,87,42
王府井,西什库教堂,13,0.52,1130,25
长安街,保和殿,30,0.810810810811,1388,37
太和门,储秀宫,18,0.818181818182,65,22
乾清宫,神武门,68,0.906666666667,75,102
金水桥,储秀宫,11,0.5,26,22
太庙,商业街,26,0.634146341463,41,1248
天安门广场,商业街,651,0.521634615385,1345,1248
金水桥,中和殿,14,0.538461538462,26,28
天安门,毛主席纪念堂,276,0.663461538462,896,416
皇穹宇,丹陛桥,23,1.0,550,23
坤宁宫,乾清门,63,0.926470588235,75,68
天安门广场,太和殿,28,0.666666666667,1345,42
故宫,国家大剧院,88,0.553459119497,1155,159
珍宝馆,九龙壁,27,0.586956521739,76,46
王府井,王府井大街,708,0.972527472527,1130,728
中和殿,乾清门,22,0.785714285714,28,68
西华门,天安门广场,19,0.633333333333,30,1345
天安门广场,毛主席纪念堂,415,0.997596153846,1345,416
琉璃厂,商业街,64,0.533333333333,120,1248
丹陛桥,神乐署,16,0.695652173913,23,29
人民英雄纪念碑,太庙,25,0.609756097561,412,41
皇穹宇,天坛,550,1.0,550,1115
太和殿,神武门,31,0.738095238095,42,102
午门,御花园,70,0.804597701149,115,87
天坛,自然博物馆,54,0.9,1115,60
景山公园,皇极殿,12,0.666666666667,408,18
祈年殿,法华寺,15,0.6,555,25
太和门,神武门,62,0.953846153846,65,102
祈年殿,天坛,555,1.0,555,1115
人民英雄纪念碑,天安门广场,412,1.0,412,1345
御花园,神武门,70,0.804597701149,87,102
天安门,九龙壁,27,0.586956521739,896,46
正阳门,中华门,12,0.923076923077,502,13
天安门,中国历史博物馆,127,0.55701754386,896,228
箭楼,长安街,291,0.568359375,512,1388
中和殿,坤宁宫,24,0.857142857143,28,75
太和门,长安街,53,0.815384615385,65,1388
文津街,角楼,12,0.631578947368,482,19
中国历史博物馆,商业街,114,0.5,228,1248
天安门,御花园,58,0.666666666667,896,87
故宫,乾清门,68,1.0,1155,68
长安街,神武门,75,0.735294117647,1388,102
太和门,景山公园,34,0.523076923077,65,408
景山公园,中和殿,16,0.571428571429,408,28
皇极殿,交泰殿,12,0.666666666667,18,64
文津街,北海公园,480,0.995850622407,482,533
交泰殿,御花园,63,0.984375,64,87
中和殿,交泰殿,22,0.785714285714,28,64
琉璃厂,天坛,70,0.583333333333,120,1115
皇穹宇,自然博物馆,42,0.7,550,60
御花园,天安门广场,64,0.735632183908,87,1345
天安门,中华门,10,0.769230769231,896,13
午门,皇极殿,13,0.722222222222,115,18
坤宁宫,天安门广场,56,0.746666666667,75,1345
储秀宫,御花园,22,1.0,22,87
故宫,储秀宫,22,1.0,1155,22
天安门,景山公园,222,0.544117647059,896,408
皇极殿,坤宁宫,18,1.0,18,75
正阳门,商业街,471,0.938247011952,502,1248
坤宁宫,储秀宫,19,0.863636363636,75,22
王府井,乾清门,34,0.5,1130,68
御花园,九龙壁,26,0.565217391304,87,46
故宫,天安门,580,0.647321428571,1155,896
故宫,团城,11,0.916666666667,1155,12
故宫,乾清宫,75,1.0,1155,75
故宫,坤宁宫,75,1.0,1155,75
乾清宫,坤宁宫,71,0.946666666667,75,75
景山公园,乾清门,35,0.514705882353,408,68
交泰殿,商业街,32,0.5,64,1248
大观园,祈年殿,28,0.509090909091,55,555
午门,神武门,78,0.764705882353,115,102
天安门广场,太庙,38,0.926829268293,1345,41
皇极殿,长安街,15,0.833333333333,18,1388
午门,乾清门,65,0.955882352941,115,68
大栅栏,天安门广场,339,0.616363636364,550,1345
乾清宫,中和殿,25,0.892857142857,75,28
乾清门,长安街,54,0.794117647059,68,1388
乾清宫,天安门广场,56,0.746666666667,75,1345
故宫,天安门广场,799,0.691774891775,1155,1345
王府井,隆福寺街,11,0.785714285714,1130,14
金水桥,神武门,14,0.538461538462,26,102
皇极殿,御花园,18,1.0,18,87
交泰殿,保和殿,24,0.648648648649,64,37
天安门,皇极殿,11,0.611111111111,896,18
故宫,慈宁宫,11,1.0,1155,11
景山公园,太和殿,24,0.571428571429,408,42
正阳门,长安街,297,0.591633466135,502,1388
中和殿,御花园,23,0.821428571429,28,87
乾清门,天安门广场,51,0.75,68,1345
大栅栏,中山公园,31,0.525423728814,550,59
天安门,珍宝馆,51,0.671052631579,896,76
天安门,乾清门,52,0.764705882353,896,68
故宫,太庙,33,0.80487804878,1155,41
太和门,天安门,49,0.753846153846,65,896
故宫,太和门,65,1.0,1155,65
太和门,皇极殿,11,0.611111111111,65,18
景山公园,神武门,57,0.558823529412,408,102
天坛,大栅栏商业街,78,0.65,1115,120
中和殿,太和殿,27,0.964285714286,28,42
老舍茶馆,天安门广场,58,0.90625,64,1345
祈年殿,神乐署,26,0.896551724138,555,29
景山公园,坤宁宫,40,0.533333333333,408,75
午门,中和殿,25,0.892857142857,115,28
景山公园,交泰殿,34,0.53125,408,64
午门,天安门广场,85,0.739130434783,115,1345
天安门,太庙,41,1.0,896,41
太庙,毛主席纪念堂,23,0.560975609756,41,416
团城,北海公园,12,1.0,12,533
大栅栏,天坛,327,0.594545454545,550,1115
灵境胡同,商业街,132,0.851612903226,155,1248
王府井,乐天银泰百货,10,1.0,1130,10
午门,太和殿,29,0.690476190476,115,42
金水桥,长安街,25,0.961538461538,26,1388
隆福寺街,商业街,11,0.785714285714,14,1248
王府井,中国美术馆,29,0.659090909091,1130,44
景山公园,长安街,256,0.627450980392,408,1388
皇极殿,天安门广场,11,0.611111111111,18,1345
商业街,王府井大街,604,0.82967032967,1248,728
故宫,御花园,86,0.988505747126,1155,87
箭楼,天坛,466,0.91015625,512,1115
金水桥,太和殿,14,0.538461538462,26,42
皇极殿,九龙壁,10,0.555555555556,18,46
天安门,国家大剧院,92,0.578616352201,896,159
故宫,北海公园,369,0.692307692308,1155,533
储秀宫,乾清门,19,0.863636363636,22,68
皇极殿,储秀宫,11,0.611111111111,18,22
天安门,天安门广场,660,0.736607142857,896,1345
天安门广场,正阳门,347,0.691235059761,1345,502
皇穹宇,回音壁,66,0.929577464789,550,71
中和殿,神武门,22,0.785714285714,28,102
天坛,龙潭湖公园,11,1.0,1115,11
箭楼,商业街,470,0.91796875,512,1248
天坛,中山公园,32,0.542372881356,1115,59
储秀宫,太和殿,17,0.772727272727,22,42
太和门,金水桥,15,0.576923076923,65,26
老舍茶馆,正阳门,32,0.5,64,502
金水桥,坤宁宫,15,0.576923076923,26,75
乾清宫,太和殿,33,0.785714285714,75,42
乾清宫,交泰殿,62,0.96875,75,64
长安街,王府井大街,628,0.862637362637,1388,728
人民英雄纪念碑,中华门,12,0.923076923077,412,13
天安门,交泰殿,49,0.765625,896,64
乾清宫,长安街,60,0.8,75,1388
文津街,天安门广场,260,0.539419087137,482,1345
天安门,人民英雄纪念碑,285,0.691747572816,896,412
天坛,商业街,608,0.545291479821,1115,1248
商业街,大栅栏商业街,99,0.825,1248,120
天安门广场,王府井大街,373,0.512362637363,1345,728
皇穹宇,神乐署,26,0.896551724138,550,29
坤宁宫,太和殿,31,0.738095238095,75,42
中国美术馆,商业街,27,0.613636363636,44,1248
角楼,天安门广场,12,0.631578947368,19,1345
文津街,景山公园,209,0.512254901961,482,408
午门,储秀宫,20,0.909090909091,115,22
景山公园,御花园,45,0.51724137931,408,87
大栅栏,商业街,320,0.581818181818,550,1248
乾清门,保和殿,24,0.648648648649,68,37
北海公园,九龙壁,31,0.673913043478,533,46
故宫,景山公园,397,0.973039215686,1155,408
天安门,太和殿,27,0.642857142857,896,42
故宫,皇极殿,18,1.0,1155,18
神武门,九龙壁,27,0.586956521739,102,46
西华门,长安街,19,0.633333333333,30,1388
祈年殿,皇穹宇,549,0.998181818182,555,550
皇极殿,乾清门,11,0.611111111111,18,68
商业街,毛主席纪念堂,210,0.504807692308,1248,416
太和殿,保和殿,35,0.945945945946,42,37
乾清宫,九龙壁,25,0.54347826087,75,46
天坛,神乐署,29,1.0,1115,29
升旗仪式,长安街,53,0.757142857143,70,1388
景山公园,北海公园,227,0.55637254902,408,533
故宫,交泰殿,64,1.0,1155,64
太和门,太和殿,26,0.619047619048,65,42
长安街,九龙壁,29,0.630434782609,1388,46
北海公园,天安门广场,279,0.523452157598,533,1345
金水桥,乾清门,15,0.576923076923,26,68
