F,B,0.0269544961111
E,F,1.59298985241e-05
B,A,0.0202400894808
B,C,0.215318095608
A,F,7.51835838565e-05
B,F,0.0564533091936
C,D,0.00287379074484
A,B,0.0506494800966
F,C,0.000270391282582
E,A,2.53458456363e-05
D,A,0.000552629798565
A,E,3.22755784694e-05
D,B,0.396905774323
D,E,0.00335341761477
E,D,0.00225193124094
F,D,0.000274569046942
C,B,0.15849704114
E,C,0.000122861266724
B,D,0.430388995696
C,F,0.000227707654243
F,A,0.000344430707472
D,C,0.00291734241094
D,F,0.000559813236045
C,E,0.000106613279261
F,E,6.22087768752e-06
C,A,0.0014668077193
E,B,0.0251122186737
A,D,0.000686971298767
B,E,0.0197374132926
A,C,0.000808926436666
