景点名称	频数	景点名称	频数	共现频数	MAXC	MINC	景点名称	景点名称	共现频数	MAXC	MINC
北海公园	533	后海	809	232	0.435272045	0.286773795	Beihai Park Beihai Gongyuan	Back Lakes Hou Hai	232	0.435272045	0.286773795
北海公园	533	天安门	896	214	0.401500938	0.238839286	Beihai Park Beihai Gongyuan	Gate of Heavenly Peace Tian an Men	214	0.401500938	0.238839286
北海公园	533	前海	598	206	0.386491557	0.344481605	Beihai Park Beihai Gongyuan	Qainhai Lake	206	0.386491557	0.344481605
北海公园	533	西海	569	204	0.382739212	0.358523726	Beihai Park Beihai Gongyuan	Beijing West Lakes Xi Hai	204	0.382739212	0.358523726
北海公园	533	南锣鼓巷	867	202	0.378986867	0.232987313	Beihai Park Beihai Gongyuan	Nanluoguxiang	202	0.378986867	0.232987313
北海公园	533	恭王府	555	165	0.30956848	0.297297297	Beihai Park Beihai Gongyuan	Gong Wang Fu	165	0.30956848	0.297297297
北海公园	533	王府井	897	127	0.238273921	0.141583055	Beihai Park Beihai Gongyuan	Wangfujing Main Streeet	127	0.238273921	0.141583055
北海公园	533	天坛	1115	120	0.225140713	0.107623318	Beihai Park Beihai Gongyuan	Temple of Heaven Tiantan Park	120	0.225140713	0.107623318
北海公园	533	王府井大街	728	106	0.198874296	0.145604396	Beihai Park Beihai Gongyuan	Wangfujing Street	106	0.198874296	0.145604396
北海公园	533	王府井商业街	644	106	0.198874296	0.164596273	Beihai Park Beihai Gongyuan	Wangfujing Commercial Street	106	0.198874296	0.164596273
北海公园	533	商业街	743	88	0.165103189	0.118438762	Beihai Park Beihai Gongyuan	Commercial Street	88	0.165103189	0.118438762
北海公园	533	北京大学	1023	70	0.131332083	0.068426197	Beihai Park Beihai Gongyuan	Peking University Beijing Da Xue	70	0.131332083	0.068426197
北海公园	533	大栅栏	550	62	0.116322702	0.112727273	Beihai Park Beihai Gongyuan	Dashilan	62	0.116322702	0.112727273
北海公园	533	祈年殿	555	55	0.103189493	0.099099099	Beihai Park Beihai Gongyuan	Hall of Prayer for Good Harvest	55	0.103189493	0.099099099
北海公园	533	皇穹宇	550	55	0.103189493	0.1	Beihai Park Beihai Gongyuan	Imperial Vault of Heaven	55	0.103189493	0.1
北海公园	533	鸟巢	787	42	0.07879925	0.053367217	Beihai Park Beihai Gongyuan	Niaochao National Stadium	42	0.07879925	0.053367217
北海公园	533	奥林匹克公园	745	41	0.076923077	0.055033557	Beihai Park Beihai Gongyuan	Olympic Park	41	0.076923077	0.055033557
北海公园	533	颐和园	926	39	0.073170732	0.042116631	Beihai Park Beihai Gongyuan	Summer Palace Yiheyuan	39	0.073170732	0.042116631
北海公园	533	水立方	652	35	0.065666041	0.053680982	Beihai Park Beihai Gongyuan	Water Cube	35	0.065666041	0.053680982
北海公园	533	圆明园	743	21	0.039399625	0.028263795	Beihai Park Beihai Gongyuan	Old Summer Palace Yuanmingyuan	21	0.039399625	0.028263795
